iter	TotalF1	MultiClass
0	0.06311518742	2.911659357
1	0.2652223734	2.833417809
2	0.2476429859	2.809226919
3	0.2623377669	2.76715527
4	0.2667231323	2.705868547
5	0.2569367339	2.695131527
6	0.2730180806	2.641211996
7	0.3370514168	2.586256804
8	0.3464885205	2.532386112
9	0.3594094717	2.48908225
10	0.3724396567	2.441539754
11	0.3679600144	2.407856492
12	0.3670576925	2.386403965
13	0.3712871628	2.36263307
14	0.3810988156	2.331009381
15	0.3813277485	2.330772772
16	0.4017673026	2.296808165
17	0.4219785957	2.262906629
18	0.4220983477	2.232285372
19	0.4145955547	2.226980856
20	0.4294008594	2.208223232
21	0.4274322497	2.201411683
22	0.4314801467	2.174473638
23	0.4318118517	2.169582565
24	0.4237968472	2.149807294
25	0.4264284943	2.127222254
26	0.4394618554	2.109866688
27	0.4325511621	2.097689773
28	0.438053997	2.081659338
29	0.436739806	2.057125904
30	0.4443971289	2.029437374
31	0.4474349511	2.007580417
32	0.4495091935	1.988215152
33	0.4551347032	1.974301231
34	0.4562179121	1.958026933
35	0.4567999628	1.942245699
36	0.4587053132	1.928472404
37	0.4594892979	1.928247546
38	0.4584063402	1.917907883
39	0.4597859189	1.907683328
40	0.4604223416	1.894851809
41	0.4601366996	1.892152845
42	0.4644829086	1.877797758
43	0.4605952443	1.866606643
44	0.4656878938	1.850022744
45	0.4698883055	1.83324528
46	0.4770151578	1.819181409
47	0.478081213	1.816760571
48	0.4769092976	1.816702796
49	0.4773544978	1.806779167
50	0.4841287216	1.791548031
51	0.4849814073	1.782830568
52	0.4874820763	1.770807594
53	0.4873979264	1.769360933
54	0.4863825703	1.759588369
55	0.486748473	1.755592274
56	0.4865282457	1.752111874
57	0.4895476082	1.742668606
58	0.491941916	1.729808002
59	0.4941190663	1.715545956
60	0.494487949	1.715028265
61	0.49507383	1.713064004
62	0.495212515	1.70365709
63	0.4950177131	1.699683852
64	0.4975851532	1.689073156
65	0.4977482977	1.686524889
66	0.4995866572	1.675106325
67	0.4990486368	1.664341054
68	0.4999420033	1.65792638
69	0.5024068011	1.649026678
70	0.50314037	1.644021202
71	0.5037538732	1.639657153
72	0.5046863811	1.631133445
73	0.5046791894	1.631072273
74	0.5060228358	1.623996689
75	0.5065927663	1.621152407
76	0.5047290892	1.618743908
77	0.5066105423	1.61090206
78	0.5072628503	1.605176092
79	0.5065195039	1.598393092
80	0.5085722702	1.591035576
81	0.5087809054	1.589946459
82	0.5087826573	1.589873459
83	0.509639566	1.589415047
84	0.5092908703	1.588819636
85	0.509256357	1.583587608
86	0.5125783248	1.575005462
87	0.5144301847	1.564954263
88	0.5157915709	1.558872659
89	0.5159272003	1.557385403
90	0.5153480342	1.555883404
91	0.5169714455	1.547011539
92	0.5164167341	1.542334304
93	0.5173460331	1.535215827
94	0.5168590438	1.53082399
95	0.517589909	1.528441055
96	0.5186295579	1.522662241
97	0.5195154601	1.516491371
98	0.5212856975	1.509485884
99	0.5258412836	1.503701249
100	0.5274685176	1.496529329
101	0.5274393517	1.492712108
102	0.527167253	1.489388858
103	0.5276107761	1.486949981
104	0.5280795122	1.481327195
105	0.5286297758	1.478407483
106	0.5285277539	1.476716022
107	0.5282457162	1.473341103
108	0.5284817775	1.467006775
109	0.5278401729	1.463613769
110	0.5279079197	1.460469218
111	0.5280133122	1.454643572
112	0.528004221	1.451093872
113	0.5301708833	1.445427135
114	0.5303492162	1.440880092
115	0.5309042377	1.436650985
116	0.5315837202	1.43255257
117	0.5330264704	1.430716676
