iter	Passed	Remaining
0	25	25031
1	46	23206
2	62	20737
3	78	19654
4	100	20064
5	107	17764
6	127	18113
7	145	18089
8	164	18140
9	181	18006
10	204	18358
11	226	18675
12	246	18698
13	259	18306
14	282	18559
15	291	17954
16	310	17933
17	330	18024
18	347	17950
19	354	17361
20	371	17337
21	380	16920
22	401	17035
23	410	16690
24	426	16618
25	449	16832
26	469	16922
27	486	16878
28	512	17155
29	535	17320
30	562	17595
31	582	17629
32	602	17645
33	616	17529
34	641	17690
35	662	17740
36	683	17802
37	694	17579
38	714	17614
39	739	17758
40	762	17838
41	774	17658
42	798	17779
43	820	17827
44	843	17890
45	865	17956
46	887	17993
47	897	17794
48	901	17504
49	916	17413
50	937	17445
51	956	17429
52	973	17403
53	983	17236
54	1003	17244
55	1032	17398
56	1043	17268
57	1059	17210
58	1081	17245
59	1103	17290
60	1111	17105
61	1120	16944
62	1139	16952
63	1155	16891
64	1178	16955
65	1194	16910
66	1237	17238
67	1263	17315
68	1278	17245
69	1301	17292
70	1310	17149
71	1319	17007
72	1341	17036
73	1346	16843
74	1368	16882
75	1385	16843
76	1396	16743
77	1410	16675
78	1425	16624
79	1447	16641
80	1470	16684
81	1478	16548
82	1485	16407
83	1496	16323
84	1506	16215
85	1530	16262
86	1553	16298
87	1576	16335
88	1598	16362
89	1606	16239
90	1619	16172
91	1642	16210
92	1666	16252
93	1684	16238
94	1705	16250
95	1723	16225
96	1746	16256
97	1767	16269
98	1789	16284
99	1809	16283
100	1831	16299
101	1847	16267
102	1873	16317
103	1884	16233
104	1904	16231
105	1919	16185
106	1937	16170
107	1956	16158
108	1977	16168
109	2000	16182
110	2018	16166
111	2041	16183
112	2061	16179
113	2079	16159
114	2103	16187
115	2123	16181
116	2142	16167
117	2158	16132
118	2167	16049
119	2192	16078
120	2208	16045
121	2213	15929
122	2217	15814
123	2240	15831
124	2262	15834
125	2266	15722
126	2286	15718
127	2293	15625
128	2312	15617
129	2317	15512
130	2337	15507
131	2342	15402
132	2367	15433
133	2385	15416
134	2392	15330
135	2403	15267
136	2425	15281
137	2448	15292
138	2461	15249
139	2474	15202
140	2497	15217
141	2508	15156
142	2529	15159
143	2549	15156
144	2566	15133
145	2587	15135
146	2601	15093
147	2623	15100
148	2633	15038
149	2646	14998
150	2655	14928
151	2659	14838
152	2666	14762
153	2681	14730
154	2702	14733
155	2725	14746
156	2743	14728
157	2763	14726
158	2784	14728
159	2796	14681
160	2801	14600
161	2837	14679
162	2852	14645
163	2879	14678
164	2905	14705
165	2914	14644
166	2937	14654
167	2951	14615
168	2968	14598
169	2984	14572
170	3003	14562
171	3026	14567
172	3034	14507
173	3041	14439
174	3055	14403
175	3075	14396
176	3094	14387
177	3101	14320
178	3120	14312
179	3137	14294
180	3154	14274
181	3171	14252
182	3197	14275
183	3217	14270
184	3229	14225
185	3249	14222
186	3270	14218
187	3274	14144
188	3300	14164
189	3326	14181
190	3334	14125
191	3352	14106
192	3381	14138
193	3414	14186
194	3432	14171
195	3437	14100
196	3446	14048
197	3453	13988
198	3460	13928
199	3483	13932
200	3504	13932
201	3511	13873
202	3539	13895
203	3552	13860
204	3563	13819
205	3584	13814
206	3606	13817
207	3637	13850
208	3651	13820
209	3686	13869
210	3691	13804
211	3697	13742
212	3718	13740
213	3748	13768
214	3773	13776
215	3782	13727
216	3790	13675
217	3811	13674
218	3836	13682
219	3841	13619
220	3853	13582
221	3863	13538
222	3884	13536
223	3911	13551
224	3933	13548
225	3938	13486
226	3965	13502
227	3996	13531
228	4001	13471
229	4030	13494
230	4038	13442
231	4057	13432
232	4075	13415
233	4096	13409
234	4124	13426
235	4145	13420
236	4166	13413
237	4194	13427
238	4215	13421
239	4224	13377
240	4244	13366
241	4262	13351
242	4267	13294
243	4277	13253
244	4300	13253
245	4312	13217
246	4335	13217
247	4343	13170
248	4370	13181
249	4390	13171
250	4419	13187
251	4440	13181
252	4456	13157
253	4478	13154
254	4499	13146
255	4513	13117
256	4538	13122
257	4561	13117
258	4586	13122
259	4606	13109
260	4625	13096
261	4650	13099
262	4671	13090
263	4695	13091
264	4712	13070
265	4734	13063
266	4756	13058
267	4785	13070
268	4791	13020
269	4811	13009
270	4830	12994
271	4855	12995
272	4876	12986
273	4898	12977
274	4933	13006
275	4997	13109
276	5020	13104
277	5037	13084
278	5057	13068
279	5078	13058
280	5091	13026
281	5120	13038
282	5140	13024
283	5217	13152
284	5252	13176
285	5272	13163
286	5292	13147
287	5310	13128
288	5331	13115
289	5348	13093
290	5372	13090
291	5388	13065
292	5413	13062
293	5436	13054
294	5460	13048
295	5481	13037
296	5505	13032
297	5527	13020
298	5548	13007
299	5564	12984
300	5589	12980
301	5612	12971
302	5635	12963
303	5654	12946
304	5677	12936
305	5697	12921
306	5719	12910
307	5739	12896
308	5761	12883
309	5786	12879
310	5812	12876
311	5839	12876
312	5873	12891
313	5899	12888
314	5921	12877
315	5939	12856
316	5960	12841
317	5990	12848
318	6014	12839
319	6041	12837
320	6062	12824
321	6085	12814
322	6132	12853
323	6190	12915
324	6224	12928
325	6250	12923
326	6276	12917
327	6297	12902
328	6323	12897
329	6348	12889
330	6377	12889
331	6398	12874
332	6426	12872
333	6448	12858
334	6473	12850
335	6505	12856
336	6544	12875
337	6578	12885
338	6606	12881
339	6629	12868
340	6655	12862
341	6678	12848
342	6698	12829
343	6721	12818
344	6749	12813
345	6773	12802
346	6798	12793
347	6825	12787
348	6847	12772
349	6875	12769
350	6905	12768
351	6933	12764
352	6957	12752
353	6981	12739
354	7003	12725
355	7030	12717
356	7051	12701
357	7072	12683
358	7096	12671
359	7118	12655
360	7140	12638
361	7165	12629
362	7199	12633
363	7223	12620
364	7248	12609
365	7272	12597
366	7297	12587
367	7318	12568
368	7341	12553
369	7367	12544
370	7388	12526
371	7415	12518
372	7436	12500
373	7461	12489
374	7483	12472
375	7505	12456
376	7532	12447
377	7556	12434
378	7582	12423
379	7607	12411
380	7627	12392
381	7648	12373
382	7670	12356
383	7694	12344
384	7721	12334
385	7744	12318
386	7769	12306
387	7789	12286
388	7808	12265
389	7829	12246
390	7851	12229
391	7873	12212
392	7894	12193
393	7918	12179
394	7941	12163
395	7962	12144
396	7987	12132
397	8009	12114
398	8035	12103
399	8059	12089
400	8083	12075
401	8105	12056
402	8128	12041
403	8154	12030
404	8179	12016
405	8203	12001
406	8228	11988
407	8252	11974
408	8277	11961
409	8299	11943
410	8319	11923
411	8342	11906
412	8366	11891
413	8386	11871
414	8410	11855
415	8435	11842
416	8457	11823
417	8482	11811
418	8502	11790
419	8526	11774
420	8547	11754
421	8567	11735
422	8593	11722
423	8616	11706
424	8640	11690
425	8662	11671
426	8685	11655
427	8706	11636
428	8733	11624
429	8754	11605
430	8783	11595
431	8817	11593
432	8855	11596
433	8889	11593
434	8912	11575
435	8935	11558
436	8955	11538
437	8978	11520
438	8998	11499
439	9019	11479
440	9045	11466
441	9067	11446
442	9092	11432
443	9114	11413
444	9135	11394
445	9164	11383
446	9189	11368
447	9211	11349
448	9237	11335
449	9260	11317
450	9287	11305
451	9308	11285
452	9334	11271
453	9414	11321
454	9441	11309
455	9467	11293
456	9492	11278
457	9517	11263
458	9544	11249
459	9570	11235
460	9594	11217
461	9616	11198
462	9644	11186
463	9671	11171
464	9696	11155
465	9719	11137
466	9743	11120
467	9765	11100
468	9791	11085
469	9818	11072
470	9843	11055
471	9868	11039
472	9890	11019
473	9915	11003
474	9935	10981
475	9954	10957
476	9978	10941
477	10002	10922
478	10028	10907
479	10054	10892
480	10080	10876
481	10103	10858
482	10125	10837
483	10147	10818
484	10172	10801
485	10199	10787
486	10225	10771
487	10250	10754
488	10278	10741
489	10304	10725
490	10326	10705
491	10344	10680
492	10367	10661
493	10392	10644
494	10416	10626
495	10444	10612
496	10465	10592
497	10488	10573
498	10510	10552
499	10533	10533
500	10552	10510
501	10573	10488
502	10593	10467
503	10614	10446
504	10643	10432
505	10667	10414
506	10693	10398
507	10712	10375
508	10734	10354
509	10758	10336
510	10782	10317
511	10801	10295
512	10825	10277
513	10848	10257
514	10875	10241
515	10904	10228
516	10951	10231
517	10973	10210
518	10997	10192
519	11020	10172
520	11044	10153
521	11065	10133
522	11090	10114
523	11111	10093
524	11134	10073
525	11156	10053
526	11179	10034
527	11206	10018
528	11229	9997
529	11255	9981
530	11276	9959
531	11297	9938
532	11319	9917
533	11342	9897
534	11366	9879
535	11392	9862
536	11414	9841
537	11439	9823
538	11465	9806
539	11486	9785
540	11510	9765
541	11537	9749
542	11557	9727
543	11582	9709
544	11604	9687
545	11626	9667
546	11652	9649
547	11715	9663
548	11748	9651
549	11769	9629
550	11793	9610
551	11816	9590
552	11836	9567
553	11861	9549
554	11888	9532
555	11907	9508
556	11928	9487
557	11950	9466
558	11975	9447
559	11996	9426
560	12018	9405
561	12038	9382
562	12062	9363
563	12087	9344
564	12111	9324
565	12135	9305
566	12163	9288
567	12187	9269
568	12212	9250
569	12233	9228
570	12257	9208
571	12281	9189
572	12302	9168
573	12324	9146
574	12350	9128
575	12375	9110
576	12401	9091
577	12427	9073
578	12453	9055
579	12472	9031
580	12501	9015
581	12525	8995
582	12551	8977
583	12575	8958
584	12603	8940
585	12631	8923
586	12652	8902
