iter	MultiClass
0	2.870924911
1	2.715654423
2	2.655494294
3	2.578231425
4	2.556368663
5	2.529213715
6	2.442645878
7	2.400352052
8	2.331368661
9	2.238864942
10	2.171704481
11	2.171684129
12	2.171665728
13	2.114740468
14	2.084431187
15	2.058217991
16	2.010668358
17	1.970931141
18	1.95058293
19	1.90707953
20	1.888471735
21	1.872099519
22	1.864738509
23	1.843286882
24	1.817518729
25	1.786577518
26	1.765105419
27	1.75296987
28	1.752933876
29	1.729941218
30	1.717707948
31	1.709152844
32	1.700740001
33	1.672582298
34	1.657327524
35	1.648725206
36	1.636527666
37	1.61220356
38	1.612170495
39	1.591163068
40	1.591131291
41	1.5747374
42	1.565620946
43	1.554833469
44	1.547618168
45	1.532735388
46	1.523038875
47	1.512857279
48	1.512611813
49	1.510509644
50	1.498938042
51	1.481875557
52	1.47079863
53	1.462989505
54	1.459232276
55	1.447163549
56	1.43362406
57	1.427670376
58	1.421611676
59	1.415742639
60	1.410497982
61	1.408186719
62	1.405275706
63	1.402755031
64	1.395609728
65	1.383762466
66	1.375407324
67	1.368911813
68	1.358034006
69	1.35800356
70	1.35238665
71	1.339553627
72	1.3268394
73	1.325522143
74	1.32549268
75	1.314941203
76	1.314746541
77	1.304966943
78	1.298559917
79	1.297530982
80	1.291263171
81	1.291239073
82	1.29020562
83	1.288414995
84	1.288319292
85	1.287009663
86	1.28684209
87	1.280445288
88	1.270873178
89	1.27082729
90	1.259155007
91	1.259137699
92	1.254435424
93	1.252011267
94	1.246227583
95	1.241146098
96	1.237356821
97	1.237339069
98	1.232042102
99	1.228458319
100	1.228440886
101	1.228284813
102	1.225800009
103	1.224230181
104	1.221482115
105	1.216068756
106	1.210107724
107	1.206166417
108	1.203124698
109	1.195671619
110	1.195656538
111	1.188523514
112	1.188039524
113	1.186625949
114	1.185491283
115	1.178481179
116	1.17653646
117	1.165893241
118	1.165751249
119	1.160377797
120	1.156287541
121	1.154657203
122	1.153840109
123	1.151934103
124	1.14961025
125	1.149595242
126	1.149164204
127	1.149095238
128	1.147783552
129	1.147772186
130	1.1477619
131	1.147752591
132	1.146381398
133	1.143617155
134	1.136566261
135	1.136555141
136	1.13430362
137	1.130157523
138	1.128961812
139	1.128912214
140	1.127251772
141	1.123486153
142	1.123473651
143	1.115616867
144	1.113087145
145	1.111548064
146	1.111436556
147	1.111086728
148	1.105697774
149	1.103631321
150	1.096779799
151	1.088716762
152	1.088688223
153	1.082979082
154	1.076340137
155	1.076256315
156	1.074567857
157	1.066931041
158	1.066614899
159	1.066602341
160	1.059687614
161	1.057434811
162	1.053888345
163	1.048093332
164	1.04358566
165	1.041384132
166	1.035096967
167	1.028628493
168	1.024402371
169	1.015633707
170	1.010464098
171	1.008449081
172	1.000863573
173	0.9968424285
174	0.9912532094
175	0.9870387639
176	0.9814911833
177	0.9736737237
178	0.9734616374
179	0.9646518165
180	0.9646187757
181	0.9561594715
182	0.9520100875
183	0.9500657332
184	0.9495007163
185	0.9434687645
186	0.936928121
187	0.9339528078
188	0.9269294697
189	0.9241661073
190	0.9160757258
191	0.9137667191
192	0.907625357
193	0.9014863746
194	0.899339287
195	0.8958903798
196	0.8899480665
197	0.8862227472
198	0.8825748935
199	0.8806734302
200	0.8773652221
201	0.8723185634
202	0.8649017768
203	0.8603097762
204	0.8585068063
205	0.8544982029
206	0.8509152213
207	0.8451623512
208	0.8396730091
209	0.8341404988
210	0.828589069
211	0.8248578139
212	0.8210362269
213	0.8152316977
214	0.8115628734
215	0.8090206061
216	0.803864594
217	0.8012388687
218	0.7969976997
219	0.7879815916
220	0.7797241306
221	0.7756577896
222	0.7716165391
223	0.7642228384
224	0.7599944703
225	0.7516359509
226	0.7479571462
227	0.7449659914
228	0.7373063894
229	0.7339226683
230	0.7306997409
231	0.7238591302
232	0.7173176951
233	0.714516612
234	0.7105800481
235	0.7061137147
236	0.7016149898
237	0.6955946469
238	0.692878087
239	0.6869751638
240	0.6851116525
241	0.677985393
242	0.6758339249
243	0.6728069869
244	0.6696356798
245	0.6661392664
246	0.6629923859
247	0.6612924334
248	0.6591519964
249	0.6568623458
250	0.6543572429
251	0.6525894923
252	0.6493426014
253	0.6462500001
254	0.6412557961
255	0.638747775
256	0.6347023454
257	0.6326089525
258	0.6287204769
259	0.6261943177
260	0.6233833616
261	0.6205624824
262	0.6186662031
263	0.6138985058
264	0.6119177495
265	0.6100274935
266	0.6069981982
267	0.6052581647
268	0.6037305502
269	0.6022132157
270	0.6005701117
271	0.5984095926
272	0.5977386168
273	0.5953260307
274	0.589638981
275	0.5861923009
276	0.5841461594
277	0.5821857611
278	0.580353581
279	0.5787294785
280	0.5774965735
281	0.5760624139
282	0.5731400025
283	0.5691051392
284	0.5682498884
285	0.5673699796
286	0.5657578234
287	0.5645929904
288	0.5630369131
289	0.5596516116
290	0.5578919053
291	0.5560655815
292	0.5540002326
293	0.5526331387
294	0.5507007132
295	0.5485847657
296	0.5467501607
297	0.5449618105
298	0.5434576088
299	0.5418998587
300	0.5397493608
301	0.538853682
