iter	Passed	Remaining
0	55	27547
1	109	27365
2	139	23175
3	161	20064
4	207	20556
5	228	18827
6	282	19921
7	340	20944
8	384	20978
9	433	21239
10	482	21465
11	489	19887
12	494	18539
13	546	18979
14	582	18840
15	613	18570
16	657	18676
17	692	18546
18	720	18247
19	775	18616
20	796	18177
21	820	17819
22	860	17844
23	937	18594
24	985	18730
25	1034	18853
26	1077	18880
27	1124	18948
28	1143	18576
29	1187	18608
30	1210	18316
31	1251	18296
32	1266	17920
33	1328	18206
34	1391	18488
35	1408	18154
36	1436	17969
37	1487	18085
38	1494	17662
39	1553	17868
40	1560	17470
41	1600	17448
42	1647	17513
43	1689	17508
44	1735	17548
45	1775	17521
46	1816	17509
47	1851	17434
48	1864	17157
49	1876	16886
50	1924	16946
51	1978	17048
52	2025	17081
53	2057	16990
54	2102	17011
55	2145	17013
56	2188	17009
57	2239	17066
58	2259	16888
59	2301	16878
60	2341	16852
61	2364	16704
62	2386	16556
63	2415	16456
64	2445	16365
65	2495	16412
66	2545	16448
67	2602	16530
68	2649	16548
69	2655	16312
70	2698	16305
71	2751	16353
72	2798	16368
73	2844	16375
74	2850	16155
75	2889	16122
76	2902	15942
77	2959	16010
78	2979	15878
79	2991	15706
80	3043	15745
81	3050	15550
82	3081	15479
83	3127	15488
84	3139	15329
85	3151	15170
86	3174	15071
87	3231	15129
88	3284	15169
89	3297	15023
90	3348	15049
91	3360	14902
92	3400	14883
93	3462	14953
94	3520	15006
95	3580	15069
96	3614	15016
97	3620	14851
98	3659	14821
99	3690	14760
100	3696	14602
101	3708	14470
102	3722	14347
103	3772	14363
104	3815	14354
105	3852	14321
106	3893	14301
107	3952	14347
108	3979	14276
109	4025	14271
110	4031	14129
111	4077	14126
112	4095	14027
113	4118	13944
114	4153	13904
115	4200	13906
116	4222	13823
117	4274	13838
118	4293	13745
119	4341	13746
120	4366	13678
121	4410	13664
122	4432	13585
123	4475	13569
124	4517	13552
125	4524	13430
126	4540	13336
127	4552	13229
128	4586	13190
129	4592	13072
130	4599	12955
131	4606	12841
132	4651	12833
133	4690	12812
134	4739	12815
135	4746	12702
136	4787	12685
137	4800	12592
138	4872	12654
139	4884	12560
140	4933	12560
141	4995	12593
142	5007	12502
143	5062	12516
144	5113	12518
145	5187	12578
146	5200	12487
147	5213	12400
148	5269	12413
149	5328	12433
150	5367	12404
151	5426	12424
152	5446	12351
153	5508	12375
154	5558	12371
155	5570	12284
156	5626	12293
157	5679	12292
158	5696	12216
159	5703	12119
160	5758	12125
161	5773	12045
162	5825	12043
163	5878	12044
164	5937	12055
165	5980	12032
166	6035	12034
167	6085	12025
168	6133	12012
169	6188	12012
170	6239	12005
171	6255	11928
172	6314	11936
173	6373	11940
174	6433	11947
175	6479	11928
176	6531	11919
177	6582	11908
178	6598	11832
179	6653	11828
180	6660	11737
181	6710	11725
182	6770	11728
183	6831	11731
184	6874	11704
185	6925	11691
186	6981	11684
187	7046	11694
188	7100	11684
189	7157	11678
190	7210	11664
191	7279	11676
192	7330	11659
193	7390	11657
194	7435	11629
195	7496	11627
196	7552	11616
197	7606	11601
198	7669	11600
199	7736	11604
200	7795	11596
201	7857	11591
202	7904	11565
203	7957	11546
204	8018	11538
205	8076	11526
206	8147	11532
207	8206	11520
208	8279	11528
209	8339	11517
210	8396	11499
211	8460	11493
212	8530	11493
213	8590	11480
214	8652	11469
215	8719	11464
216	8771	11439
217	8833	11426
218	8901	11421
219	8955	11397
220	9014	11379
221	9075	11365
222	9134	11346
223	9186	11318
224	9241	11295
225	9290	11263
226	9380	11281
227	9442	11264
228	9493	11234
229	9553	11215
230	9619	11202
231	9675	11176
232	9733	11153
233	9803	11144
234	9863	11122
235	9915	11091
236	9971	11064
237	10023	11034
238	10080	11008
239	10137	10982
240	10201	10963
241	10254	10932
242	10319	10914
243	10383	10893
244	10437	10863
245	10493	10835
246	10555	10812
247	10620	10792
248	10695	10781
249	10794	10794
250	10858	10771
251	10924	10751
252	10986	10725
253	11043	10695
254	11102	10667
255	11161	10638
256	11215	10604
257	11306	10605
258	11368	10578
259	11426	10547
260	11485	10517
261	11539	10482
262	11601	10454
263	11650	10414
264	11717	10391
265	11782	10365
266	11844	10336
267	11908	10308
268	11975	10283
269	12038	10254
270	12094	10219
271	12151	10185
272	12220	10161
273	12284	10132
274	12341	10097
275	12406	10068
276	12634	10171
277	12691	10134
278	12742	10093
279	12793	10052
280	12861	10023
281	12917	9985
282	12969	9944
283	13018	9901
284	13081	9868
285	13154	9842
286	13224	9814
287	13296	9787
288	13354	9750
289	13407	9708
290	13466	9671
291	13538	9643
292	13612	9616
293	13667	9576
294	13722	9536
295	13783	9499
296	13839	9459
297	13908	9427
298	13979	9397
299	14033	9355
300	14096	9319
301	14163	9286
